iter	Passed	Remaining
682	24587	11411
683	24617	11373
684	24660	11340
685	24688	11300
686	24723	11264
687	24750	11223
688	24783	11186
689	24813	11148
690	24848	11111
691	24882	11075
692	24903	11032
693	24933	10993
694	24951	10950
695	24983	10912
696	25000	10868
697	25035	10831
698	25068	10794
699	25103	10758
700	25141	10723
701	25172	10685
702	25204	10648
703	25236	10610
704	25272	10575
705	25307	10538
706	25337	10500
707	25366	10461
708	25388	10420
709	25430	10387
710	25462	10349
711	25494	10312
712	25524	10274
713	25555	10236
714	25578	10195
715	25610	10158
716	25636	10118
717	25671	10082
718	25704	10045
719	25731	10006
720	25761	9968
721	25785	9928
722	25810	9888
723	25850	9854
724	25879	9816
725	25907	9777
726	25944	9742
727	25997	9713
728	26041	9680
729	26067	9641
730	26097	9603
731	26126	9565
732	26152	9526
733	26189	9490
734	26228	9456
735	26247	9414
736	26272	9375
737	26310	9340
738	26337	9302
739	26375	9267
740	26401	9228
741	26428	9189
742	26466	9154
743	26498	9117
744	26528	9080
745	26548	9039
746	26585	9004
747	26609	8964
748	26634	8925
749	26656	8885
750	26682	8846
751	26715	8810
752	26755	8776
753	26799	8743
754	26831	8706
755	26866	8671
756	26901	8635
757	26930	8597
758	26974	8565
759	27001	8526
760	27024	8487
761	27048	8448
762	27078	8410
763	27104	8372
764	27129	8333
765	27169	8299
766	27226	8270
767	27249	8231
768	27282	8195
769	27320	8160
770	27361	8126
771	27381	8086
772	27403	8047
773	27436	8011
774	27470	7975
775	27514	7942
776	27545	7905
777	27585	7871
778	27616	7834
779	27646	7797
780	27690	7764
781	27714	7726
782	27743	7688
783	27773	7652
784	27807	7616
785	27837	7579
786	27876	7544
787	27917	7510
788	27957	7476
789	27998	7442
790	28025	7404
791	28065	7370
792	28094	7333
793	28137	7300
794	28169	7263
795	28208	7229
796	28238	7192
797	28271	7156
798	28303	7120
799	28321	7080
800	28338	7040
801	28373	7004
802	28414	6970
803	28468	6940
804	28532	6911
805	28568	6876
806	28597	6839
807	28639	6805
808	28676	6770
809	28712	6735
810	28747	6699
811	28789	6665
812	28825	6630
813	28858	6594
814	28881	6555
815	28919	6521
816	28942	6482
817	28981	6448
818	29025	6414
819	29065	6380
820	29097	6344
821	29118	6305
822	29161	6271
823	29194	6235
824	29229	6200
825	29264	6164
826	29288	6126
827	29325	6091
828	29350	6054
829	29376	6016
830	29418	5982
831	29453	5947
832	29474	5908
833	29511	5873
834	29538	5837
835	29580	5802
836	29605	5765
837	29639	5729
838	29676	5694
839	29713	5659
840	29739	5622
841	29777	5587
842	29808	5551
843	29830	5513
844	29863	5477
845	29898	5442
846	29935	5407
847	29963	5370
848	29995	5334
849	30033	5299
850	30063	5263
851	30107	5230
852	30140	5194
853	30161	5156
854	30205	5122
855	30224	5084
856	30256	5048
857	30286	5012
858	30328	4978
859	30367	4943
860	30404	4908
861	30437	4872
862	30480	4838
863	30516	4803
864	30567	4770
865	30612	4736
866	30655	4702
867	30694	4667
868	30721	4631
869	30759	4596
870	30788	4559
871	30819	4524
872	30850	4487
873	30882	4452
874	30915	4416
875	30942	4379
876	30992	4346
877	31013	4309
878	31040	4272
879	31073	4237
880	31094	4200
881	31138	4165
882	31171	4130
883	31194	4093
884	31232	4058
885	31253	4021
886	31276	3984
887	31303	3948
888	31320	3910
889	31345	3874
890	31362	3836
891	31387	3800
892	31407	3763
893	31429	3726
894	31457	3690
895	31478	3653
896	31500	3617
897	31523	3580
898	31546	3544
899	31567	3507
900	31587	3470
901	31606	3434
902	31628	3397
903	31646	3360
904	31672	3324
905	31691	3288
906	31716	3252
907	31737	3215
908	31753	3178
909	31772	3142
910	31794	3106
911	31809	3069
912	31828	3032
913	31845	2996
914	31863	2960
915	31880	2923
916	31900	2887
917	31917	2850
918	31943	2815
919	31956	2778
920	31972	2742
921	31998	2707
922	32025	2671
923	32053	2636
924	32073	2600
925	32091	2564
926	32111	2528
927	32123	2492
928	32142	2456
929	32166	2421
930	32179	2384
931	32202	2349
932	32224	2314
933	32241	2278
934	32264	2243
935	32291	2207
936	32319	2173
937	32342	2137
938	32363	2102
939	32378	2066
940	32396	2031
941	32418	1996
942	32444	1961
943	32469	1926
944	32492	1891
945	32515	1856
946	32537	1820
947	32553	1785
948	32569	1750
949	32593	1715
950	32615	1680
951	32628	1645
952	32647	1610
953	32670	1575
954	32693	1540
955	32708	1505
956	32731	1470
957	32756	1436
958	32770	1401
959	32796	1366
960	32822	1332
961	32845	1297
962	32867	1262
963	32886	1228
964	32900	1193
965	32920	1158
966	32945	1124
967	32964	1089
968	32984	1055
969	33006	1020
970	33031	986
971	33054	952
972	33071	917
973	33087	883
974	33115	849
975	33140	814
976	33168	780
977	33200	746
978	33223	712
979	33248	678
980	33274	644
981	33296	610
982	33314	576
983	33347	542
984	33365	508
985	33390	474
986	33414	440
987	33428	406
988	33453	372
989	33478	338
990	33506	304
991	33537	270
992	33573	236
993	33596	202
994	33628	168
995	33654	135
996	33675	101
997	33705	67
998	33726	33
999	33748	0
6106	181
995	36136	145
996	36183	108
997	36218	72
998	36253	36
999	36291	0
56938	517
991	56986	459
992	57030	402
993	57103	344
994	57129	287
995	57198	229
996	57248	172
997	57304	114
998	57348	57
999	57383	0
